Taxon,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Abiotrophia_defectiva,0.24454577,-0.024249136,0.15652286,-0.59349155,0.03812261,0.030440465,0.06750492,0.36950165,-0.41077924,0.39812833,0.40127173,0.39125714,0.13650183,0.1640729,-0.7358664,-0.12007792,-0.08661506,-0.20377827,0.5764247,1.2394122,0.45309603,0.1650112,0.26866347,0.06073004,0.065653294,0.5771486,-0.33503512,-0.19056325,-0.08095467,-0.57456887,0.17024973,0.65446764,0.48332858,0.115381196,0.21843064,0.122059464,-0.6748506,0.009345248,0.2616515,0.38582134,-0.47606325,0.7457355,0.071283706,0.2221075,-0.4804659,-0.5528319,0.07850887,-0.48882943,0.7280611,-0.87122,-0.16458324,0.008354634,0.6900983,0.27159184,0.307315,0.65328026,0.45895028,1.1445005,-0.037154168,0.822701,-1.0525867,0.107071504,-0.093415916,0.35883826,-0.23983297,-0.5014495,-0.09835087,-0.9587693,-0.415007,0.32428247,-0.22130938,0.8688239,-0.14906117,-0.6625663,-0.0483149,-0.44899687,0.13922553,-0.3620612,0.6216588,0.648091,0.38741812,0.1336299,-0.6209918,0.1699981,0.20330185,0.07566509,-0.33352178,-0.25167882,0.8307656,0.07522084,-0.30789965,0.06260981,0.3512864,-0.5547415,-0.4598373,-0.34432235,0.06741367,-0.34934288,0.3089844,-0.2780732
Acetanaerobacterium_elongatum,-1.159929,-0.07935487,-0.49647966,-0.3795056,0.066688776,0.19868892,0.84106874,-0.07109204,0.88761574,-0.30858427,-0.04976222,0.67475927,0.3018937,-0.51157856,-0.34060076,0.06628679,-0.4929266,0.56733453,0.17423673,-0.20055227,1.1461159,0.58430356,-0.514737,-1.2735512,-1.0715103,0.36011773,-0.36993897,-0.5052426,0.32849675,-0.99716866,0.3479021,0.4259529,-0.5264149,-0.242001,0.053632736,1.062744,0.13836448,-0.39008793,0.3190629,0.20239323,-0.029495655,0.21113625,0.38156623,0.34906483,-0.16923149,-0.37741554,0.7917848,-0.28559303,-0.107243836,0.908679,-0.003475152,-0.04226643,-0.87933993,-0.30594838,0.95099974,-0.946389,-0.52866626,0.506333,-1.2145729,0.5334284,0.33405113,0.16907045,-0.2689367,0.63480735,0.10713829,0.44459152,-0.8752473,-0.0044072866,0.34639823,-0.58859944,-0.1493487,0.5397179,0.1296219,0.54909587,0.4347176,-0.5507435,-0.7698305,-0.28328654,0.1301847,-0.50528365,0.52988386,-0.6405303,-0.18982665,-0.24823873,-0.0112387845,-0.8132534,-0.22162978,0.22530197,-0.0971808,0.012310639,-0.8995713,0.15922706,-0.59600407,0.28015,0.9729948,0.46759707,-0.7577711,-0.6642527,-0.08997367,0.8372675
Acetitomaculum_ruminis,0.87987167,0.6774881,-0.42984673,1.5948992,0.82904553,-0.6953891,0.51076657,1.2584949,-0.11386977,0.18325135,-0.11998096,-0.35528916,-0.78751636,-0.8504482,0.22119427,0.89399606,0.49499485,0.26483667,-0.18456578,0.58786136,-0.9628225,-0.20165339,0.7408015,-0.1980064,-0.80964214,0.10167295,-1.1082625,-1.0914233,1.191923,0.20882872,0.90817666,-0.33192766,0.36458045,1.2180154,-0.38984287,-1.3473171,0.70628285,1.3846054,-0.5313654,-0.47441822,0.0975551,-0.37803292,-0.25317413,0.37327972,-0.12437213,-0.26780152,0.2765904,-0.65782344,-0.16336179,0.08058265,-0.07830866,1.0073766,0.46200436,0.98862773,0.4058612,0.19349766,0.13633823,-0.23201495,-0.36002782,0.88927555,-0.64967436,1.2376113,-0.11924366,0.53534293,0.6034256,0.245002,-0.41679186,1.1952438,0.6866305,-0.09093501,-0.46911222,-0.82675624,-0.5284693,-0.5812061,0.75450367,0.11119869,-0.7354083,-1.1089835,-0.19417983,-1.1795099,-1.479357,-0.52479005,-0.999428,0.5968454,-0.49529314,1.0621643,0.5236798,0.72207516,0.28851104,0.82385534,-1.2296163,-0.15618002,0.8405499,0.92172384,0.0782541,0.47049972,-1.552088,-0.7221527,-0.6258589,0.60986847
Acetivibrio_cellulolyticus,0.5966673,-0.6518455,-0.120150626,-0.2750199,-0.5238737,-0.5203534,0.65095973,0.37414268,0.62253696,-0.009442925,0.530844,-0.39525172,-0.89467704,0.30618656,-0.40078214,-0.10928049,0.18309872,-0.25627357,0.0092211645,-1.1358678,-0.28930485,1.1986828,0.031741306,-0.68760616,-0.84146255,-0.8158761,0.79756254,-0.24926239,-1.0208268,-0.53120184,0.20604001,-0.055598542,0.2887705,0.34867993,0.59207594,0.08712165,-0.71537983,-0.17622587,0.56480265,-0.42403388,-0.098109856,-0.8691027,-0.27173588,0.052372336,-0.12413068,-0.45715612,0.33412173,0.47078896,-0.24026345,-0.44048244,-0.5364693,-0.36652464,0.51234835,0.30594102,0.4937965,0.28048193,0.22082376,-0.6435961,0.20716897,-1.1071932,0.32257283,0.21671808,-0.18559018,0.44274032,-0.548143,0.18495798,-0.38021058,0.9355893,0.25084278,1.0960184,0.45367366,0.31202102,-0.14066586,-0.35136378,0.14999364,-0.6337935,-0.44374406,0.18909293,0.8339891,-0.25739515,-0.32653588,0.24514076,0.120683074,0.59905326,0.74953365,0.16812435,0.06637821,-0.49523136,-1.0625312,1.049845,-0.023089558,-0.3865077,0.26625478,0.6880661,-0.09064332,0.47852144,-0.9923843,-0.41520137,-0.044831604,0.01392208
Acetivibrio_ethanolgignens,0.29725087,-0.113455705,0.64381915,0.08406721,-0.28961885,0.32027677,-0.76406825,-0.28533944,0.2148508,-0.1759933,0.049260095,-0.08263926,0.014894187,-0.33839202,0.5654581,0.3380781,0.2564244,-0.15532424,-0.22522992,-0.35199413,-0.27618462,0.096655786,-0.34608603,0.67275643,0.6589236,0.14109127,0.44933546,-0.22855648,0.07984045,0.4394365,0.45213193,0.37411368,0.30579552,-0.15415373,0.06934616,-1.2495984,-0.51335025,-0.16571842,-0.6209759,-0.89856577,-0.56236565,0.06417869,-0.05526228,-1.0324602,0.06788564,-0.3766814,0.3012956,-0.37251163,-0.5654308,-0.58634055,-0.5199704,-0.27713013,0.24026506,-0.15156303,-0.13548402,0.16209225,0.116992,-0.54788756,-0.36202186,0.13656582,-0.18906717,-0.063841194,0.046034276,0.07497851,-0.0934007,-0.3047173,-0.77585137,0.53334117,-0.06881421,-0.78718317,-0.42323223,0.12725587,-0.39920056,0.684861,0.04746192,0.2368505,0.015840217,0.38838118,0.7096964,0.01808533,-0.7991226,-0.31664136,-0.96807927,0.5556412,-0.031895995,0.33300883,-0.19861144,-0.35193768,0.444525,-0.122278824,0.15106001,0.3056644,1.4557631,-0.4890107,0.36313492,-0.11953003,0.57478124,-0.35129213,0.49349874,0.098823786
Acidaminococcus_fermentans,-0.35932025,-0.48002985,-0.11595601,0.60766,-0.4567198,-0.14066151,0.06506667,0.020667842,-0.02232576,-0.13459542,0.052270234,-0.14701611,0.25426397,-0.31260192,0.5050059,0.56632066,-0.36630502,0.041701615,0.552597,-0.0074623525,-0.20183778,-0.098137066,-0.38360995,-0.2567974,-0.05565396,-0.22200175,-0.61045736,-0.339396,-0.08339839,0.29912892,-0.21153149,0.007685434,-0.17479709,0.6978773,-0.1567015,-0.37679923,-0.005436212,0.03484966,0.4191845,0.6665824,-0.10513685,0.33069396,0.11830093,-0.25432768,-0.9961076,0.7961656,0.2175652,0.2864034,-0.53138536,0.0012454819,0.11651081,-0.19899887,0.012413496,-0.28497097,-0.1785655,0.65867025,0.19780998,0.15519537,-0.3388037,-0.20566301,-0.2976828,-0.034938857,-0.2656191,0.3995516,0.13016982,0.09382141,0.15228526,-0.3085513,-0.2529396,0.22865073,-0.1421625,0.51674205,-0.075489156,0.33823442,-0.11122969,-0.52449524,-0.0011209846,0.48711348,-0.7829748,-0.29776663,0.34467936,-0.38571548,-0.3088001,-0.17181346,-0.13810879,0.7408329,0.09565794,-0.10094902,-0.18537019,-0.034794405,0.4505588,0.6368126,0.10558063,0.33677745,-0.12514901,0.04102967,-0.04664128,-0.3417756,0.37950265,-0.1601284
Acidaminococcus_intestini,0.0034481585,-0.17757441,0.06202675,0.08983606,-0.07368463,-0.11901304,0.07538856,-0.06507854,-0.07258045,0.43646592,0.03070497,-0.18056244,0.033201814,-0.06315617,0.03369382,-0.24284291,-0.1078512,0.104785174,0.67427564,0.25881666,0.22366025,-0.18514508,-0.09338904,0.34303787,-0.017846324,0.086847916,-0.1234602,-0.051220432,-0.37051022,-0.016314942,-0.18263733,0.14699338,-0.035722382,0.016012002,-0.14210485,0.14965206,0.12828118,0.16285013,-0.29266244,0.30537263,-0.0437663,-0.18374938,-0.10361654,0.03641288,-0.30272046,0.06599652,-0.032859616,0.20823218,-0.28855073,0.16575755,0.008799374,-0.04870707,-0.25878602,0.13045308,0.19560486,-0.0019591232,-0.17582914,0.11556252,0.1400745,0.15250126,-0.08198744,-0.30593926,-0.1739698,0.0019829087,-0.04490161,0.06463872,0.327584,0.07355013,-0.22750077,0.044975795,-0.020488566,0.113506585,0.7701895,-0.15438356,0.37717992,-0.00015294086,-0.01927245,0.05463715,-0.41001067,-0.2780648,0.0865604,-0.2080087,-0.15758604,0.25297794,0.22384325,0.3594495,0.111588836,-0.34749255,0.3800726,0.19681643,-0.3537327,0.43619382,-0.24023947,0.18903816,-0.15300545,-0.032425433,-0.16246581,-0.07701084,0.037265852,-0.0028241277
Actinomyces_graevenitzii,0.121095344,-0.0796362,0.10600169,-0.1326023,-0.22752064,-0.053082522,-0.08684599,0.09259551,-0.22850692,-0.14095622,-0.1385113,-0.059260037,0.2735645,-0.011768959,-0.079104446,0.14265476,0.18447742,-0.22677517,0.2667174,0.41369322,0.2740482,-0.11680921,-0.18111539,0.082469076,0.38218415,-0.04925069,-0.060968906,-0.057447273,0.012577066,0.1049894,-0.29822597,0.24560972,0.24133317,0.06268169,-0.2183699,0.025771946,-0.018792339,-0.21723738,0.017396614,-0.09560848,-0.20012851,0.15607363,-0.023111284,0.2620602,0.14561161,-0.06948461,0.1458561,-0.24895802,0.021986935,-0.21509267,0.1416457,-0.030243225,-0.36996704,0.24854344,-0.034479022,0.04919772,0.09533575,0.0057316944,-0.03501635,0.18426299,-0.34077024,0.12612772,-0.17020938,-0.34077203,0.06862123,-0.1877699,0.026166439,-0.34945026,-0.2085023,-0.14508037,-0.25983477,-0.15877865,-0.23068237,-0.009965941,-0.20142677,-0.26189613,0.37110633,-0.22837822,-0.074573584,0.33398253,0.024887618,0.07913053,0.019672511,0.4875121,-0.14010543,-0.0030198582,-0.36889568,-0.29140252,0.006339431,-0.39355478,-0.3807549,-0.12523066,0.26278195,-0.20244499,-0.025979996,-0.29932576,-0.4560669,-0.14757346,0.20320332,0.07691392
Actinomyces_lingnae,0.28377205,0.35451543,-0.092969224,-0.04592085,0.72087085,0.15825081,0.18598719,0.36416012,-0.20424774,0.066927716,-1.1225076,0.47614247,0.5233737,0.8046057,-0.55027336,0.27716255,0.7786883,-0.24002707,-0.955612,0.8317219,0.6125431,-0.36177212,0.29552594,-0.523216,-0.4716893,-0.67751986,-0.21882862,-0.7819303,-0.9262099,-0.6408861,1.1395139,0.7674022,0.09719202,0.70923024,-0.5622575,0.4162982,0.24947792,-0.28397578,0.18841018,-0.07323755,-0.65060186,-1.0123099,-0.30675352,-0.66258997,0.2806906,0.19890669,0.6241106,-0.4610476,-0.8742498,-0.47994742,-0.26168168,-0.25969622,0.56064725,0.4625286,-0.9098381,-0.7758537,-0.062760144,-0.43257725,0.0098362565,0.03764972,-0.30055308,1.3987708,-0.17516136,-0.68889695,-1.167857,-1.6933525,0.95127535,0.10630937,-1.2493893,0.65708,0.111434124,1.3157079,-0.64695644,-0.060924232,-0.5945722,0.17663112,-0.47877812,0.17769241,-0.21705848,0.9067942,1.075048,-0.112209484,-0.62158436,0.11253767,-0.5549537,1.0841047,-0.5364219,0.36836493,-0.366807,-0.53400475,0.38540643,0.24503466,-0.386203,-0.32722324,-0.5411505,0.0900914,0.004512757,-0.9121189,0.086521775,0.3277924
Actinomyces_massiliensis,0.29996425,0.51301026,0.8092467,-0.123795256,-0.32534552,0.028273478,0.7910583,-0.11369119,0.11636011,-0.36946827,-0.052468553,0.006224311,0.20836823,-0.45050657,-0.3610684,0.060502127,-0.11441086,-0.04282368,0.35929206,0.70489454,0.19276424,-0.5199883,0.060394615,-0.86286426,-0.07715002,0.50400096,0.24874657,-0.39440548,-0.45364296,-0.20049867,0.21785784,-0.07856795,0.61585814,-0.037171595,0.22917268,-0.08615965,0.3421247,0.59545934,0.9577693,-0.12653154,0.010454431,-0.40490037,-0.070437,-0.237961,0.8142481,-0.5922432,-0.45279932,-0.21806121,-0.070482686,0.41040033,0.16014355,-0.4727033,0.01859591,-0.012730034,-0.1033894,0.056707874,0.46291175,-0.16765821,0.51962775,0.022449732,0.5081316,0.4351471,-0.09701145,-0.0020858776,-0.33199322,-0.14385056,0.44923902,-0.4571267,-0.017513057,0.25916645,0.00023937225,0.0041602254,-0.49198997,0.41674536,-0.32869855,-0.28826958,0.03940399,0.18140242,0.30516717,0.4013437,0.40548673,0.0373625,-0.68538094,0.37086582,-0.4129995,0.058377564,-0.01714097,-0.88150775,0.47092962,-0.4676757,0.65110177,-0.14447147,-0.58813757,-0.24323529,0.116557494,0.09992434,-0.7014133,-0.501263,0.45165992,-0.20070285
